System, User, Task, Task Occurence, Mode, Mode Occurence, Time (ms)
grab, 1, 1, 1, grab-cylinder, 1, 14401.0
grab, 1, 1, 1, color, 1, 0.0
grab, 1, 1, 1, grab-copy, 1, 9730.0
grab, 1, 1, 1, grab-resize-lost, 1, 6502.0
grab, 1, 1, 1, grab-resize-lost, 2, 5901.0
grab, 1, 1, 1, grab-resize-lost, 3, 6001.0
grab, 1, 1, 1, grab-copy, 2, 6935.0
grab, 1, 1, 1, grab-copy, 3, 4468.0
grab, 1, 1, 1, grab-move, 1, 3068.0
grab, 1, 1, 1, grab-move, 2, 1503.0
grab, 1, 1, 1, grab-resize-lost, 4, 2502.0
grab, 1, 1, 1, color, 2, 1.0
grab, 1, 1, 1, color, 3, 0.0
grab, 1, 1, 1, grab-rotate, 1, 1700.0
grab, 1, 1, 1, grab-rotate, 2, 3697.0
grab, 1, 1, 1, grab-move, 3, 2032.0
grab, 1, 1, 1, grab-rotate, 3, 4164.0
grab, 1, 1, 1, grab-move, 4, 302.0
grab, 1, 1, 1, grab-move, 5, 31.0
grab, 1, 1, 1, grab-move, 6, 501.0
grab, 1, 1, 1, grab-move, 7, 67.0
grab, 1, 2, 1, grab-sphere, 1, 2838.0
grab, 1, 2, 1, grab-sphere-lost, 1, 2033.0
grab, 1, 2, 1, grab-sphere, 2, 1468.0
grab, 1, 2, 1, color, 4, 0.0
grab, 1, 2, 1, color, 5, 0.0
grab, 1, 2, 1, color, 6, 0.0
grab, 1, 2, 1, grab-move, 8, 3197.0
grab, 1, 2, 1, grab-line-box, 1, 855.0
grab, 1, 2, 1, grab-line-box, 2, 4962.0
grab, 1, 2, 1, grab-line-lost, 1, 6200.0
grab, 1, 2, 1, grab-move, 9, 1336.0
grab, 1, 2, 1, grab-line-box, 3, 735.0
grab, 1, 2, 1, grab-snapline-lost, 1, 3066.0
grab, 1, 2, 1, grab-snapline-lost, 2, 5503.0
grab, 1, 2, 1, grab-snapline-box, 1, 4202.0
grab, 1, 2, 1, grab-snapline-box, 2, 534.0
grab, 1, 2, 1, grab-snapline-lost, 3, 5200.0
grab, 1, 2, 1, color, 7, 0.0
grab, 1, 2, 1, color, 8, 0.0
grab, 1, 3, 1, grab-box, 1, 5700.0
grab, 1, 3, 1, grab-resize-lost, 5, 1604.0
grab, 1, 3, 1, grab-rotate, 4, 3801.0
grab, 1, 3, 1, grab-copy, 4, 1596.0
grab, 1, 3, 1, grab-move, 10, 5267.0
grab, 1, 3, 1, grab-resize-lost, 6, 1203.0
grab, 1, 3, 1, grab-resize-lost, 7, 3703.0
grab, 1, 3, 1, color, 9, 0.0
grab, 1, 3, 1, color, 10, 0.0
grab, 1, 3, 1, grab-resize-lost, 8, 3933.0
grab, 1, 3, 1, grab-snapline-lost, 4, 5003.0
grab, 1, 3, 1, color, 11, 0.0
grab, 1, 4, 1, grab-sphere, 3, 3770.0
grab, 1, 4, 1, color, 12, 0.0
grab, 1, 4, 1, color, 13, 0.0
grab, 1, 4, 1, grab-cylinder, 2, 1768.0
